OptimNumber,lambda0,lambda1,mu0,mu1,rho,q01,q10,e0,e1,nloglike,Comments
114,0.179735232,0.00272642,0.00230975,0.022841978,0.02539602,0.027203264,0.012676123,4796047.967,3.396758097,13731.96957,
415,0.009773469,0.016820323,0.145353373,5.58E-05,0.028838643,0.033297783,0.021441849,38.30459951,24171.73833,13732.41897,
323,0.078352079,0.011612974,0.114150779,0.050592857,0.034973017,0.020896481,0.010581597,12.8671219,790039.8109,13736.86961,
161,0.197562358,0.002411436,4.37E-05,0.023114273,0.026362528,0.020995796,0.012188651,2902.906764,3029.544547,13739.79779,
458,0.467265447,2.40E-06,0.519089536,1.29E-16,0.011107212,0.117034966,0.036533931,6357490738,3.93313E+11,13740.52198,
92,0.008857611,1.47E-05,0.217399279,7.70E-05,0.01784521,0.064709305,0.037729644,70.89143928,43774.41384,13746.77852,
226,0.150175262,0.002295382,0.054694633,1.39E-09,0.020165607,0.033900303,0.034422431,6937.337358,75494.84007,13748.49356,
397,0.266382904,7.55E-08,0.295311919,1.27E-07,0.01770936,0.055626194,0.033238074,4.88E-06,1020854.313,13750.28953,
201,0.006131967,0.000217031,0.296216968,0.010638735,0.012510878,0.037141003,0.016711338,1.504532231,14284.67605,13765.07715,
55,0.0131572,0.019323176,0.156729267,0.003748356,0.022830532,0.0210531,0.007898114,5.211522316,6798833.311,13766.05188,
417,0.100033583,0.055938307,0.017109336,5.71E-06,0.024663878,0.021179373,0.007999631,43025584.25,5963.907347,13779.41412,
206,0.199135873,1.87E-08,1.27E-08,0.024122263,0.026107923,0.020658452,0.01338243,50021054.6,18974139.53,13791.23352,
198,0.685471755,0.003495545,0.998990182,0.010459927,0.019790021,0.061252537,0.039516295,44.89218104,0.048158561,13796.11685,
3,0.017752168,0.031801436,0.344155438,0.027487854,0.007802554,0.028981349,0.014857072,43.57602718,32.83922311,13798.45415,
21,0.20556452,0.000153266,2.58E-05,0.026311449,0.026171789,0.023441223,0.011956638,392491.8943,0.671393844,13798.61571,
62,1.38E-05,0.001013442,0.136777367,0.003028358,0.012216339,0.049254091,0.014266254,16.48047647,0.22236862,13802.88735,
250,0.034958208,0.019789984,0.360370488,0.005284403,0.027417692,0.03602141,0.003223829,1717561.059,16.51558691,13803.84181,
448,0.100359199,0.043000983,0.016288946,0.002335832,0.027185183,0.014223069,0.009388097,31.66720581,31222.25916,13808.26291,
239,0.528553336,0.001439703,0.607921229,2.87E-05,0.012784774,0.063637505,0.031588685,0.018090355,686708.7745,13822.83238,
246,2.140271666,0.001326166,2.188779188,1.86E-08,0.016139242,0.065791887,0.01998042,2281.012352,3.36E-06,13839.10551,
381,0.001690108,2.27E-07,0.355625172,1.04E-12,0.00965545,0.075781618,0.028332311,2.17107E+14,355490.0693,13843.28624,
39,0.182255005,0.021192558,9.75E-10,0.036730234,0.038721651,0.022474582,0.007977288,49.51667608,47.54442206,13844.92005,
376,0.185009766,0.020572895,0.000970722,0.024540865,0.032269231,0.01059916,0.015373754,2.96012E+11,15.9905075,13845.17768,
483,0.201622631,0.000143518,3.77E-18,0.026188989,0.025340271,0.024344389,0.010745541,3246212.704,168065029.4,13869.56364,
170,8.094558631,0.003003776,8.545943245,0.005938139,0.008009113,0.026564724,0.02048086,4.584849638,7.999142653,13874.14502,
330,0.149278857,0.052944111,0.016227251,0.00466625,0.023405504,0.010485175,0.011206949,41.50043573,72082.45068,13876.73909,
295,5.603950596,0.011841769,5.768858066,0.011539275,0.007927364,0.021288724,0.012566497,2.776136142,12.85975227,13878.14629,
