Simulation_number,lambda0,lambda1,mu0,mu1,rho0,rho1,q01,q10,e0,e1,nloglike,Comments
286,0.129764896,0.025098776,0.014866621,0.016554735,0.029218432,0.024426034,0.016085856,0.008068024,310.3469998,1.30741614,13472.05685,
72,0.003883339,7.46E-05,0.20818577,2.26E-05,0.066689315,4.05E-05,0.106262854,0.046778891,1287.988594,0.057333636,13475.67724,
356,0.471513514,0.000823538,0.391710455,0.025677488,0.026075364,0.022716356,0.018790129,0.008538734,486.5007056,5875.716227,13483.12657,
358,0.000292154,2.18E-13,0.392270785,1.31E-22,0.047651787,0.009507486,0.09114814,0.037582482,5.73845E+12,1.58131E+12,13503.90679,
118,0.029915237,0.006463748,0.247781862,8.43E-05,0.054619026,4.76E-12,0.083149652,0.05974198,39142712.86,101442.097,13509.41699,
450,0.104388941,0.001620844,0.257152974,0.001468891,0.047753319,1.35E-05,0.074071577,0.038357363,2187.495254,1888848.824,13526.59568,
192,0.001070134,0.00831991,0.307140359,3.28E-07,0.042327089,0.000252729,0.038388232,0.027889232,60131.15882,64253.32265,13535.07405,
94,0.002108857,0.001844301,0.215033841,0.000395714,0.064239402,2.61E-06,0.103472155,0.043777258,1.24176E+11,0.985953079,13537.91031,
170,0.035046196,0.004648657,0.265734082,0.000396146,0.028028262,0.002580702,0.118947264,0.028123624,306.4034543,533.5796019,13555.37922,
167,0.00032337,0.069290994,0.116613469,0.008085082,0.040553114,0.012688699,0.005359686,0.010468341,21430.60015,4230.551466,13567.78193,
294,0.26788344,0.007176536,0.476810169,0.004601368,0.071155192,0.010013031,0.110724331,0.033835083,51.85830155,465.761122,13568.26774,
188,1.86346236,0.00151001,2.050973358,0.002168852,0.034902603,0.004406666,0.036416748,0.02510279,1417.874626,3.714825353,13569.24191,
311,0.285863209,0.000344233,0.44069,0.010718584,0.037034015,0.008157982,0.040855265,0.036928315,0.023555046,4979.303058,13570.85997,
388,2.586547352,0.002610925,2.642469883,0.005464353,0.007267035,0.007141722,0.028389059,0.017924353,0.863911801,0.167873859,13583.33882,
103,0.055344603,0.05370774,0.127778613,0.006999304,0.021560294,0.018032757,0.016905623,0.00017256,31778.02993,0.276278944,13585.20702,
368,0.119710661,0.08161318,0.03663551,0.029525868,0.043030243,0.012028257,0.008253472,0.015214835,151.3106235,22.27446223,13593.63532,
185,0.101056091,4.69E-07,0.162729813,0.003306525,0.048658204,7.98E-07,0.124039404,0.045859718,24.87027362,1797.284391,13597.57231,
346,3.57E-08,0.024659148,0.261973466,0.003167835,0.043586739,0.016759443,0.016174711,0.002824413,92265.3436,935405.2614,13602.59964,
91,0.081528553,0.081659728,0.150631054,0.110690949,0.033803703,0.012760631,0.019121739,0.006750738,94.36005668,0.116697174,13617.13336,
142,0.549377992,0.012071985,0.675240266,2.18E-07,0.00263729,0.004941285,0.029073102,0.014823397,4.74736E+14,15526.35339,13617.44936,
499,0.43000445,0.040970565,0.464446287,0.001053265,0.048547465,0.015142718,0.009470285,0.006019722,53185581.06,0.035702158,13619.38953,
393,0.140074067,0.017277748,0.003651262,0.030634395,0.042095112,0.019798093,0.021227714,0.012241162,668869.9841,0.001625921,13622.87965,
123,0.000994114,1.04E-06,0.244641451,0.009221667,0.06447054,3.20E-07,0.083857484,0.04063196,419079329.8,7139.589858,13628.15846,
476,0.000230178,0.010025032,0.197947154,0.000335196,0.054861639,2.05E-05,0.085692252,0.025656661,53112.02817,0.006279166,13633.79137,
98,0.451501578,0.024849363,0.402087138,0.007461211,0.013344653,0.010312354,0.017079873,0.020418484,0.005776271,74.59321081,13635.93831,
372,0.212428487,5.10E-07,0.046623301,6.26E-06,0.031503122,0.007402001,0.060891061,0.033025676,32825.49351,8936.250783,13640.72339,
457,0.011333894,0.000191405,0.321682608,0.033589907,0.039765582,0.003042774,0.042951764,0.012636907,26.90594706,8092.58297,13659.08701,
401,0.208681105,0.050075805,0.15652865,0.004654208,0.035891123,0.010347853,0.014929705,0.000197271,256604.3616,0.000354984,13677.27758,
482,0.126294711,0.006826723,0.009335708,0.022155004,0.042906973,0.015152372,0.022130673,0.017450777,0.004736051,19.42508651,13678.69314,
483,0.346892929,4.46E-09,0.350600714,0.006228114,0.036854826,2.71E-05,0.086570765,0.051846778,11192460750,4.17819281,13680.22019,
210,0.11681827,0.090282415,0.196255273,0.001418605,0.029129817,0.020022289,0.032766452,0.017548569,11092.80432,0.008587357,13680.6227,
164,0.10486125,1.42E-05,0.043263939,0.026734306,0.032344416,0.012866176,0.056667188,0.035054259,3.92131E+12,5.74298869,13688.41493,
452,0.283003863,0.00018634,0.024804243,0.018124786,0.034246547,0.020476819,0.034656905,0.016149503,1.21357257,29.65193164,13693.126,
93,0.111270256,0.000889883,0.133404734,1.83E-08,0.047057667,0.006391145,0.087940399,0.048233557,1.068542003,25518469.12,13712.38396,
370,0.245826623,0.00378669,0.287932362,0.000239018,0.007026518,0.011318245,0.028005981,0.000928889,32525.64056,6.62049098,13720.00643,
433,0.185220071,0.000910723,0.007820774,0.005935221,0.048699378,0.014021178,0.041174471,0.023496108,4.085200188,1.623784053,13724.95671,
436,0.131985354,0.003000682,0.05429551,0.008413947,0.031961178,0.031345331,0.031763397,0.035928504,0.137047332,8.279305185,13731.69741,
202,0.167688314,0.127356948,0.119280633,0.087941083,0.033166005,0.00550238,0.007486859,0.010440315,55.46078436,78.67188612,13771.19762,
403,0.013664817,0.131816441,0.047278313,0.035892381,0.051958497,0.007528308,0.007188133,0.009490357,0.094479617,4.265506549,13771.68083,
347,1.625210684,0.002126797,1.673032716,0.00662054,0.019089487,0.012578009,0.026600225,0.001754171,6578.523662,0.000439857,13791.41469,
153,1.860723017,0.030190314,1.915200264,0.009063809,0.015044825,0.014787389,0.017226513,0.004670582,695.558575,0.042128085,13808.74325,
466,0.86934082,0.003886603,0.987115387,0.003791856,0.043886693,0.015401528,0.025721376,0.007218374,5.098057366,436543.5391,13813.26348,
329,0.117395118,0.000169156,0.00104311,0.03379474,0.064118541,0.006810725,0.022610879,0.010932304,38685554.71,2980389.591,13819.23611,
464,0.127686103,0.050267364,0.007901557,0.000129221,0.043991619,0.024918459,0.012424433,0.006589521,704892.0869,2.089604883,13825.74373,
33,3.405753633,0.008573476,3.589064444,0.008106845,0.022838884,0.017376591,0.023864688,0.017141933,6.936119801,83.36098092,13830.1423,
70,0.163188465,0.066057765,0.274298043,0.008486048,0.006747296,0.01462954,0.012769697,0.001881966,49006246.66,52.18679025,13838.1694,
488,0.063591973,0.003423661,0.001148954,0.023014524,0.044243538,0.026483439,0.019196681,0.006337979,5525501442,0.170325557,13858.28574,
35,0.005402511,0.054925117,0.086462777,0.029690547,0.038815563,0.008335971,0.009736394,0.00975224,0.570490305,22765475.38,13863.5537,
317,2.82E-05,0.001972495,0.275437331,0.002984567,0.056210371,0.005599413,0.073661958,0.034425772,0.120723513,414806644.9,13867.65768,
85,0.198700929,0.022418374,0.00038102,0.0326093,0.063743525,0.025257955,0.032000912,0.0158499,33995.54857,0.008097194,13876.3206,
152,0.0019263,0.007915081,0.186215132,0.053080998,0.076753841,0.010712873,0.029639326,0.033803188,816791970.3,2.186172008,13883.21055,
281,0.000833429,0.023924408,0.100102718,0.002238909,0.081810452,0.006741812,0.039734603,0.038123754,86805.10776,48396574.07,13891.9996,
371,0.706129981,0.000928057,0.756434836,0.015361451,0.034816357,3.76E-05,0.043122678,0.021366697,0.004221299,0.040075749,13897.40814,
227,0.113288837,0.00080693,0.029828844,0.035580294,0.051399975,0.04596305,0.002578129,0.014293386,813.1501065,1555.102555,13909.99333,
410,6.993557088,0.005101335,7.342743954,0.013740325,0.007821095,0.013411848,0.013735912,0.010295324,392.7484833,372.8167091,13914.62311,
146,0.119038474,0.000586284,0.021404031,0.061938929,0.040638285,0.018831836,0.012667805,0.001121685,0.013532002,535.7236371,13921.87402,
394,0.0464812,0.099765928,0.097684248,0.013324066,0.036368474,0.002413397,0.023307252,7.04E-05,971.2982751,7600.417286,13936.50134,
459,1.061242333,0.006199758,1.148330876,0.001959312,0.033806717,2.53E-09,0.051025838,0.032871243,1321.383496,6.807969288,13949.24933,
320,3.62E-06,0.0158155,0.139501094,0.011042935,0.092350653,3.81E-06,0.148671135,0.049540476,5488282862,4.962745297,13976.39534,
116,0.170115387,0.000123112,0.003436369,0.017380644,0.048421239,0.001785007,0.067038344,0.035246861,10572.97913,75853.16351,14005.77122,
379,0.001178466,7.94E-11,0.486234822,0.002460618,0.08581126,0.023147209,0.110516391,0.041478246,5809748.985,8.56E-06,14010.69469,
47,0.888941814,0.001619551,1.150569627,0.017935436,0.043959521,0.000134048,0.093781223,0.036974103,1.047122986,0.672662815,14023.71931,
251,0.01341683,0.047915279,0.207183331,0.027668017,0.04516905,7.53E-11,0.041398735,0.012410101,92862.65238,0.720549848,14032.58277,
175,0.004636373,0.099326301,0.316378137,0.006417529,0.04647373,0.023751727,0.019398315,0.010236549,6.888904492,1575.176902,14035.99386,
318,0.023228347,0.133754537,0.067028908,0.041626928,0.054120657,0.007795398,0.081120098,0.037295794,1334.804569,8.328257704,14083.34811,
267,0.266745256,0.007753973,0.000596214,0.002633547,0.072473031,0.006054654,0.068797769,0.038255228,741.1604915,1901.723616,14084.19296,
445,8.561698772,0.019332793,8.954468751,0.000937153,0.012981368,0.012266544,0.028689967,0.006767203,6.509034414,6.52006284,14112.45525,
155,0.025091905,0.024805247,0.127737029,0.009974247,0.062344226,0.000148867,0.322890431,0.209425255,10503.59391,5.159838976,14115.27472,
193,4.993052479,0.047092293,5.106256095,0.00804239,0.007582369,0.007713801,0.012241405,0.010336413,10979.54454,0.024417513,14118.48531,
37,0.000483084,0.030437367,0.320436997,0.002899248,0.035674517,8.44E-07,0.115876178,0.076133236,1559.287824,42079.8185,14119.46462,
463,0.000491677,0.02079334,0.296767445,1.72E-06,0.171643047,2.66E-07,0.140472056,0.058117313,18468.88953,213225.4886,14121.90732,
324,0.002777236,0.000457773,0.511280324,0.000255266,0.011664398,0.018298574,0.113979428,0.039030622,1.65856E+12,1.583038746,14123.10174,
363,0.477149701,1.48E-05,0.131683868,0.000346511,0.03363165,0.03103484,0.057247819,0.03905341,0.868067698,7522.288643,14161.34566,
187,0.155941425,0.000566098,0.009435977,0.031119384,0.063288394,8.69E-07,0.056025257,0.035721679,217.9637946,71.40257695,14177.67104,
337,0.043538389,0.029099901,0.123690844,0.013625389,0.050940224,4.18E-05,0.310198714,0.180554636,45.87461824,1774.474345,14184.66849,
426,0.039365582,0.029718796,0.019313686,0.002129898,0.054612491,0.019249888,0.021870715,0.029598033,44314.33822,2026059296,14207.06506,
456,0.280340089,0.019316884,0.079784691,0.004438723,0.082711512,5.89E-05,0.231681801,0.082036136,394.0713771,0.047576711,14224.45387,
238,0.064102964,0.026506204,0.495224688,0.002194252,0.074093138,0.005858398,0.288981877,0.05136041,38.65737964,127.3577508,14233.02409,
226,0.058857898,0.021732301,0.25220871,0.000208184,0.096481347,0.009178802,0.494096986,0.120795082,2209.914173,178.5963303,14241.73991,
492,0.17911712,0.003239276,0.001093542,0.031981972,0.062484893,0.000414363,0.039584386,0.036453311,28.53474237,226.0191586,14243.60385,
218,0.218233688,0.003629743,5.84E-07,0.009233225,0.053627054,1.02E-11,0.066152233,0.036058343,1589806560,78590519.35,14268.42456,
382,0.126971606,0.025517641,0.002889933,0.046140269,0.058109478,0.022435618,0.027270834,0.001615,0.037972019,52332.72448,14271.39884,
208,4.087460221,0.000187606,4.141296772,2.12E-07,1.23E-10,0.00665107,0.04832665,0.031505528,465.6645123,1551.047005,14291.81676,
